brand,name,ym,km,trans,price
1, G80 3.3 GDI,2017,54712,1,2800
6, SM6 2.0 GDe,2017,83233,1,1430
4, 볼트EV EV LT 디럭스,2019,34073,1,2480
3, 아반떼AD 1.6 GDI 스마트,2018,51565,1,1310
2, K5 MX 2.0 럭셔리,2017,103700,1,1240
2, 더뉴K9 3.3 GDI 프레스티지,2018,52488,1,2900
1, G80 3.3 GDI AWD,2016,130822,1,2700
1, G80 3.3 T AWD,2017,143859,1,3349
1, G70 2.2D AWD,2018,88328,1,3199
2, 올뉴K3 G1.6 프레스티지,2018,45564,1,1525
1, G80 3.3 GDI,2018,150115,1,2399
2, 올뉴K7 3.3 GDI 노블레스,2016,81113,1,1750
2, 올뉴모닝(JA) 프레스티지,2017,60879,1,880
6, SM7노바 2.0 LPe,2017,32940,1,1480
2, 더뉴쏘울 1.6 트렌디,2017,140269,1,1020
3, 벨로스터(JS) 1.4 터보 모던 코어,2018,13512,1,1620
6, SM7노바 2.5 RE,2016,47157,1,1490
2, 더뉴k3 1.6 GDI 디럭스,2017,129383,1,1030
2, K8 2.5 2WD,2021,4378,1,3799
6, SM6 2.0 GDe,2017,58023,1,1450
2, 더뉴레이 럭셔리,2018,101938,1,950
4, 올뉴말리부 1.5 터보 퍼펙트 블랙,2017,57489,1,1900
1, G80 3.3 T AWD,2019,30044,1,4950
3, 소나타뉴라이즈 2.0 스마트 스페셜,2018,97484,1,1480
2, K7 프리미어 하이브리드 시그니처,2020,57938,1,3399
2, K5 MX 2.0 스타일 에디션,2017,34295,1,1390
2, 더K9 3.8 GDI AWD,2018,73420,1,3459
3, 그랜저IG 2.4 GDI 프리미엄,2018,87329,1,1999
3, 그랜저IG 3.0 GDI 익스클루시브,2019,26127,1,3090
6, SM6 1.5 DCI,2017,95646,1,1040
1, G70 2.0T AWD,2018,94171,1,2850
4, 올뉴말리부 2.0 터보 퍼펙트 블랙,2017,38051,1,1980
2, 올뉴K3 G1.6 럭셔리,2018,83729,1,1350
3, 소나타(DN8) 1.6 터보 프리미엄,2020,12842,1,2490
2, K5 하이브리드 3세대 2.0 노블레스,2020,19519,1,3250
3, 그랜저IG 3.0 GDI 익스클루시브,2018,85188,1,2150
3, 소나타(DN8) 2.0 프리미엄 패밀리,2019,51859,1,2150
3, LF 소나타 LPI 프리미엄,2016,114317,1,1189
2, 더뉴k3 1.6 VGT 디럭스,2016,51314,1,990
6, SM6 2.0 GDe,2017,175880,1,920
1, G90 3.8 GDI AWD,2019,111390,1,5650
3, 그랜저HG HG220 PREMIUM,2016,191516,1,1099
6, SM6 2.0 GDe,2016,144511,1,1150
1, G80 3.8 GDI AWD,2016,81241,1,3470
1, EQ900 3.8 GDI,2017,130361,1,2990
6, SM6 2.0 GDe,2016,38522,1,1360
4, 올뉴말리부 2.0 터보 LT,2017,51285,1,1630
1, G80 3.8 GDI AWD,2017,86000,1,3499
6, SM6 1.5 DCI,2017,56822,1,1300
1, G80 3.3 GDI AWD,2018,17030,1,4399
3, 3DH G330 프리미엄 AWD,2016,110201,1,2090
3, 더 뉴 그랜저 IG 하이브리드 익스클루시브,2020,11622,1,3990
3, 소나타(DN8) 2.0 인스퍼레이션,2020,19411,1,2979
2, 올뉴K3 G1.6 럭셔리,2019,25160,1,1525
3, 그랜저IG 2.4 GDI 프리미엄,2019,27412,1,2580
1, G80 3.3 GDI AWD,2017,112026,1,2749
3, 더 뉴 그랜저 IG 하이브리드 익스클루시브,2020,8979,1,4060
3, 그랜저IG 2.2 VGT 모던,2018,85095,1,2030
3, 아반떼AD 1.6 GDI 밸류 플러스,2018,92677,1,1220
2, 올뉴K7 2.4 GDI 프레스티지,2016,96030,1,1599
3, 더뉴아반떼AD 1.6,2018,85534,1,1350
3, 더 뉴 그랜저 IG 3.3 캘리그래피,2021,1120,1,4500
3, 아반떼AD 1.6 GDI 스마트 스페셜,2017,150922,1,860
4, 어메이징 뉴 크루즈 1.6 디젤 LTZ,2017,71294,1,799
2, 더뉴레이 트렌디,2018,27096,1,1120
2, 올뉴K7 R 2.2 리미티드 에디션,2017,44068,1,2470
6, SM6 2.0 LPe,2018,44991,1,1540
3, 아이오닉 Q,2016,60000,1,1940
2, 더뉴레이 시그니처,2021,3950,1,1599
6, SM6 2.0 GDe,2017,17069,1,1600
1, G70 2.0T,2018,72598,1,2850
1, G80 3.3 GDI AWD,2020,30997,1,4599
2, 올뉴K7 3.3 GDI 노블레스,2016,74076,1,1799
1, G70 2.0T,2018,34459,1,3250
3, 그랜저IG 2.4 GDI 모던,2017,43904,1,2130
2, 레이 프레스티지,2016,38602,1,1030
3, 더 뉴 그랜저 IG LPI 3.0 고급형 VPI패키지(택시형),2021,46611,1,2899
2, 더뉴레이 프레스티지,2020,46849,1,1200
3, 소나타(DN8) 2.0 프리미엄,2019,47431,1,1799
4, 올뉴말리부 2.0 터보 퍼펙트 블랙,2016,65446,1,1730
2, 올뉴K3 5도어 GT 플러스,2019,50187,1,2250
1, 더뉴G70 가솔린 2.0T 4WD,2021,62,1,4669
4, 더뉴스파크 프리미어,2019,11983,1,950
3, LF 소나타 LPI 스마트,2016,76041,1,1350
3, 3DH G330 프리미엄,2016,187847,1,1820
1, G80 3.3 GDI,2018,52349,1,4100
2, 올뉴K7 2.4 GDI 리미티드,2017,57166,1,1960
2, 더뉴레이 밴,2020,16406,1,1190
4, 더 넥스트 스파크 1.0 가솔린 LTZ,2016,56373,1,830
2, 올뉴K3 G1.6 럭셔리,2018,117221,1,1080
2, K5 MX 2.0 럭셔리,2017,43612,1,1090
6, SM6 1.6 TCe,2017,43794,1,1650
3, 그랜저IG 3.0 GDI 익스클루시브,2017,178895,1,1590
2, 더뉴레이 럭셔리,2019,41554,1,9999
6, SM6 2.0 GDe,2017,119995,1,1000
3, 그랜저 IG 하이브리드 익스클루시브 스페셜,2017,146527,1,1989
1, EQ900 3.8 GDI AWD,2016,72093,1,3890
4, 올뉴말리부 2.0 터보 퍼펙트 블랙,2017,54556,1,1840
3, 더 뉴 그랜저 IG 하이브리드 캘리그래피,2019,16993,1,4370
2, 올뉴K7 2.4 GDI 리미티드 에디션,2017,29325,1,2399
2, 올뉴K7 3.0 LPI 노블레스,2017,212234,1,1490
2, 더K9 3.8 GDI AWD,2018,50000,1,4150
2, K7 프리미어 하이브리드 시그니처,2019,84580,1,3350
3, LF 소나타 LPI 프리미엄 스페셜,2016,122099,1,1259
2, 더뉴K9 3.8 GDI 노블레스,2017,95000,1,2430
1, EQ900 3.3 T-GDI,2017,152218,1,3029
3, 그랜저IG 2.4 GDI 모던,2018,96104,1,1850
4, 더뉴스파크 프리미어,2020,43782,0,995
1, EQ900 3.8 GDI AWD,2016,113800,1,3500
2, 더뉴레이 프레스티지,2018,12300,1,1320
2, K5 3세대 2.0 시그니처,2020,10709,1,3020
4, 어메이징 뉴 크루즈 1.4 터보 LT 디럭스팩,2016,86028,1,750
2, 올뉴모닝(JA) 터보 프레스티지,2018,50859,1,910
1, G80 3.3 GDI AWD,2016,45445,1,3370
2, 더뉴레이 럭셔리,2018,88590,1,1099
3, 그랜저IG 3.0 GDI 익스클루시브,2017,77963,1,2049
3, 소나타뉴라이즈 2.0 스타일,2018,84152,1,1520
3, LF 소나타 2.0 스마트,2016,154469,1,1020
2, 올뉴K3 G1.6 프레스티지,2019,21435,1,1649
3, 그랜저IG 3.0 GDI 익스클루시브,2017,138693,1,1750
2, 올뉴K7 2.4 GDI 프레스티지,2019,57449,1,2030
3, 그랜저IG 3.0 LPI 익스클루시브 스페셜(장애인용),2017,49491,1,2750
2, 더뉴K5(2세대) 1.6 터보,2018,32525,1,2290
1, G70 3.3T 스포츠,2018,97145,1,2990
6, SM6 1.5 DCI,2016,135630,1,1200
3, 3DH G330 프리미엄 AWD,2016,235143,1,1600
3, 소나타뉴라이즈 2.0 모던,2017,76761,1,1499
3, 소나타뉴라이즈 LPI 스타일,2019,167765,1,1079
1, G80 3.3 GDI AWD,2017,62891,1,3450
3, 아반떼(CN7) 1.6 스마트,2021,2729,1,1950
1, G80 3.3 GDI AWD,2019,50091,1,4200
3, 소나타뉴라이즈 2.0 모던,2017,63952,1,1800
3, 그랜저 IG 하이브리드 익스클루시브 스페셜,2018,40013,1,3080
3, 소나타(DN8) 1.6 터보 인스퍼레이션,2020,24108,1,2919
1, G80 3.3 GDI,2018,139139,1,2439
3, 아반떼AD 1.6 T-GDI 스포츠,2017,69664,0,1330
2, K8 3.5 2WD,2021,55,1,4550
1, G80 3.3 GDI AWD,2016,27837,1,3380
2, 올뉴K7 2.4 GDI 리미티드,2017,23473,1,2110
3, 그랜저IG 3.0 GDI 익스클루시브,2018,18335,1,2050
1, G70 2.0T AWD,2018,51130,1,3490
3, 아반떼(CN7) 1.6 모던,2020,16365,1,1960
3, 아반떼AD 1.6 T-GDI 스포츠,2016,17270,1,1699
1, EQ900 3.8 GDI AWD,2016,30500,1,4160
1, EQ900 3.8 GDI AWD,2016,188026,1,2799
3, 3DH G330 모던 AWD,2016,125868,1,2190
3, 벨로스터(JS) 2.0 N,2019,39114,1,2430
2, 올뉴K7 3.3 GDI 노블레스,2016,146275,1,1399
3, 엑센트신형 1.4VVT 모던,2017,18490,1,780
2, 더뉴레이 밴,2020,42,1,2448
4, 임팔라 2.5 LTZ,2016,125620,1,1380
3, 아반떼AD 1.6 T-GDI 스포츠,2016,99792,1,1560
1, EQ900 3.8 GDI AWD,2017,58581,1,4000
1, G80 2.2D AWD,2018,141370,1,2899
3, 더뉴아반떼AD 1.6,2018,97158,1,1340
1, G70 2.0T AWD,2018,44644,1,2920
3, 소나타뉴라이즈 LPI 모던,2018,99516,1,1390
1, G90 3.8 GDI AWD,2019,79315,1,6300
4, 더뉴스파크 프리미어,2021,12998,1,1199
2, K5 SX 2.0 프레스티지,2016,105000,1,1090
